name,alias,address,neighborhood,borough,begin_date,end_date,main1980s,mainSubcat,description,source,authors,sourceHyperlink
Dream House,,275 Church Street,,,1985,,,,"â€œFor the last 20 years, passersby on Church Street, just south of the triangle now occupied by the Tribeca Grand Hotel, may have noticed a magenta glow coming from a third-floor loft window. Ring the buzzer, ascend the stairs, and you will find yourself at The Dream House, an electronic sound and light installation. . . . Maintained by composer La Monte Young and artist Marian Zazeela, it realizes an idea Young conceived 50 years ago of a building in which single tones would be sustained around the clock. . . When you step inside The Dream House, youâ€™re enveloped by a voluminous, dizzying chord emanating from four speakers â€“ it fills the room with buzzing overtones that seem to appear and disappear with even the slightest movement of your head. Itâ€™s exhilarating and almost hallucinatory; often billed by Young as a kind of respite from the frenzy of NYC living, in many ways it actually reflects the panoramic onslaught of stimuli just outside the Church Street door.â€ù Licht2013.","Licht, Alan. â€œThe Hum of the City: La Monte Young and the Birth of NYC Drone.â€ù Red Bull Music Academy Daily (May 1, 2013). Accessed September 7, 2016, http://daily.redbullmusicacademy.com/2013/05/the-hum-of-the-city-la-monte-young.",TB,
The Duplex,,55 Grove Street,,,,,,,[TB: New York City's oldest (?) venue for cabaret / gay cabaret. No good source found],,,
The Duplex,,61 Christopher Street,,,,,,,,,,
Earth Room (Walter DeMaria),The New York Earth Room,141 Wooster Street,,,1977,,,,See Kostelanetz2015 re: jazz loft in this space.,,,
Eastman-Wahmendorf,,200 East Tenth Street,,,,,,,[TB: East Village art gallery. No good source found.],,,
Eighth Street Artists' club,,,,,,,,,1950s Ab Ex hangout,,,
Elaine's,,1703 Second Avenue,Upper East Side,,1963,2011,,,,,,
Electric Circus,"Arlington Hall, The Balloon Farm, The Dom, The Dom Restaurant, Exploding Plastic Inevitable, Polish National Hall, Polish National Home, Polski Dom Narodwy, Stanley's Bar",19-25 Saint Marks Place ,,,1967,1971,,,"""In the late 1960s, 19-25 St. Mark's Place was the central destination for the new East Village . . . [a new name for a neighborhood] traditionally . . . considered part of the immigrant Lower East Side. (Andy Warhol called it 'Babushkaville.'). These buildings were home to three related, and overlapping music scenes: the Dom, the Electric Circus, and Warhol's Exploding Plastic Inevitable. In the 1880s, they had housed the German social organization called Arlington Hall; in the 1920s, the hall was bought by the Polish National Home as a public gathering space, bar, and restaurant. Then, in the 1960s, the bar was taken over by Stanley Tolkin, and the upstairs ballroom became a club called the Dom [taken from Polski Dom Narodwy (Polish National Home)] . . . known for its good jukebox and racially integrated crowd. Meanwhile, Stanley's Bar, downstairs, played host to bands like the Fugs. . . . In April 1966, Andy Warhol rented the building and completely restyled its interior. He installed a rotating, mirrored ball, resuscitating the long-dormant dance floor accessory that later would come to define the age of disco. When he was done . . . a month-long party began that he dubbed the Exploding Plastic Inevitable . . . [whose house band was the Velvet Underground]. Warhol soon took the party on the road. . . . When they returned to New York [in 1966], the Dom had become the Balloon Farm, which was soon transformed [in 1967] into the Electric Circus. . . In 1970, a small bomb went off on the dance floor and by 1971 it had closed."" Nevius2009:[n.p.]; The space pioneered lighting and projection effects and hosted early electronic music performances by Terry Riley and Morton Subotnick. Perpetua2016.","Nevius, Michelle and James Nevius. Inside the Apple: A Streetwise History of New York City. New York: Free Press, 2009; Perpetua, Matthew. â€œIconic New York City Music Venues, Then and Now.â€ù Buzzfeed (July 22, 2013). Accessed June 4, 2016, http://www.buzzfeed.com/perpetua/iconic-nyc-music-venues-then-and-now#.ekR58M4wk.",TB,
EMDL (at University Place),European Mobile Dome Lab for Artistic Research,28 East Tenth Street,,,,,,,[TB: No good source found],,,
Environ,Environmental Community Arts Corp.,476 Broadway,,,,,,,Jazz loft. See Kostelanetz2015.,,,
Executive,,204 East Tenth Street,,,,,,,[TB: No good source found -- check indexes in books as name makes online searching difficult],,,
Exit Art,Exit Art/The First World,578 Broadway,,,1982,1992,,,"Founded by director Jeanette Ingberman and artist Papo Colo as an alternative art space in 1982, Exit Art was an interdisciplinary cultural center that presented innovative exhibitions, films and performances that reflected a commitment to contemporary issues and ideas. With a substantial reputation for curatorial innovation and depth of programming in diverse media, Exit Art was always changing. During its first decade, Exit Art presented artists whose work challenged notions of race, ethnicity, gender, sexuality, and equality.In its second decade, Exit Art identified a new generation of young, emerging artists with diverse backgrounds and organized a series of exhibitions. In its final decade, Exit Art became a leading voice in experimental art, producing exhibitions that illuminated the pressing issues of its time while supporting artists whose works reflected cultural transformations. By 2012, its 30th and final year, Exit Art had organized more than 200 exhibitions, events, festivals and programs featuring more than 2,500 artists.",Fales Exit Art finding aid,SM,http://dlib.nyu.edu/findingaids/html/fales/exitart/
Exit Art,,548 Broadway,,,1992,2003,,,,,,
Exit Art,,475 Tenth Avenue,,,2003,,,,,,,
Experimental Intermedia Foundation,,224 Centre Street,,,,,,,"â€œIn his own more spacious loft beyond the southeastern edge of SoHo, the composer and filmmaker Phill Niblock has presented for many years under the banner of the Experimental Intermedia Foundation (founded by Elaine Summers in 1968) nightly concerts . . . often introducing European avant-garde musicians who wouldnâ€™t (or couldnâ€™t) perform anywhere else in New York City.â€ù Kostelanetz2015:[page].","Kostelanetz, Richard. Artists' SoHo: 49 Episodes of Intimate History. New York: Fordham University Press, 2014.",TB,
Facchetti Burk,,328 East Eleventh Street,,,,,,,"""Like Columbus Avenue and SoHo before it, the Lower East Side may be hovering on impending chic. Observing the scene yesterday during a tour of the area were 45 members of the Guggenheim Museum. They stood in front of the Gracie Mansion Gallery, at Avenue B and East 10th Street, listening to the history of the area's burgeoning art movement. . . . Most young dealers show artists from the neighborhood, or at least New York. But not Facchetti-Burk, on East 11th Street. ''We're showing young Europeans,' said Bruno Facchetti, whose gallery opened two months ago. 'Here, dealers and artists are of the same generation, with the same ideas. This gives the movement its energy.' . . . Prof. Frederic Tuten, who teaches English at City College, happened to wander by the group. 'I've lived in this neighborhood 23 years,' Professor Tuten said. 'My friends wouldn't come to visit me. Now, I run into them in the street. Soon, we're going to get boutiques and dog walkers and an art gallery on every corner.â€™â€ù Anderson1984.","Anderson, Susan Heller and Maurice Carroll. â€œNew York Day By Day.â€ù New York Times (March 5, 1984).",TB,
Fashion Moda,,2803 Third Avenue,,The Bronx,,,,,"Founded in 1978 by Stefan Eins, Fashion Moda quickly became an important voice in the art world during the late 70's to mid-80's. Defining itself as a 'concept' and its South Bronx location as 'Museum of Science, Art, Invention, Technology, and Fantasy,' Fashion Moda crossed boundaries and mixed metaphors, which helped to redefine the function of art. Its South Bronx location allowed Fashion Moda the freedom to explore the question ""What is art?"" and ""Who defines it?"" As such, it was a center where many downtown and local South Bronx artists, writers, and performance artists first displayed their works and workshopped their ideas. It was closely tied to the global emergence of Hip Hop. Fashion Moda closed its South Bronx location in 1993. However it continues in concept. Artforum: ""Fashion Moda has been around forever.""",Fales Fashion Moda finding aid,SM,http://dlib.nyu.edu/findingaids/html/fales/fashion/
Fashion Moda,,2803 Third Avenue,,,1978,1993,,,"""Alternative art space founded by Stefan Eins. . . . He had previously run a downtown storefront art space called the Mercer Street Store at 3 Mercer Street from 1971 to 1978. Black downtown artist, poet and musician Joe Lewis served as Co-Director of the space with Eins, and William Scott, then a teenager from the neighborhood, served as Junior Director. Their collaborative ventures attempted to connect the street culture of the South Bronx . . . to an international cultural scene. . . . Annually funded with grants from the National Endowment for the Arts [and] the New York State Council of the Arts . . . Fashion Moda held auctions, performances, [and] seminars. . . . Lewis described it as 'an outlet for the disenfranchised, a Salon des RÃ©fusÃ©s that cut across the uptown/downtown dichotomy, across the black/white/Hispanic isolation.' Although its glass storefront was located in a neighborhood far from the Soho gallery district, its impact has been measured largely by its effect on the more mainstream art world of the 1980s and early 1990s. . . . [Jenny] Holzer presented one of her first public text pieces of â€œTruismsâ€ù in an exhibition [at Fashion Moda] called Sentence Philosophy in spring 1979. It included audiotapes of actors reading the â€œTruismsâ€ù and large color photostats fastened to the windows with lists in English and Spanish, including statements such as â€œAN ELITE IS INEVITABLEâ€ù and â€œABUSE OF POWER COMES AS NO SURPRISE.â€ù . . . Music acts such as the Relentless Blues Band and rappers the Wicked Wizards also performed there. In 1980, graffiti artist Crash curated the first gallery-based graffiti show at Fashion Moda. . . . Fashion Moda also collaborated with the downtown arts collective Colab on the Times Square Show, a major alternative exhibition in an abandoned massage parlor on Times Square which featured a mock store, performances, graffiti, a punching bag, peep shows, protest actions and parodic manifestos in June 1980. . . . Fashion Moda also participated in the exhibitions Events: Fashion Moda/Taller Boricua/Artists Invite Artists, at the New Museum of Contemporary Art in 1981, and New York/New Wave at P.S.1 in 1981."" Kurczynski2011.","Kurczynski, Karen. ""Fashion Moda."" In The Grove Encyclopedia of American Art. New York: Oxford University Press, 2011. Accessed June 6, 2011, http://ezproxy.library.nyu.edu:3583/view/10.1093/acref/9780195335798.001.0001/acref-9780195335798-e-639.",TB,
Fillmore East,,,,,1968,,,,Rock club that included performances by proto-punk band MC5,,,
Fiorucci's,,,,,,,,,,,,
Firehouse,,,,,,,,,,,,
Five Spot,"Number Five Bar, Two Saints",5 Cooper Square,,,mid 1950s,?,,,"â€œFrom the start it was noted for the uncompromising presentation of the latest styles of music. In 1956 an all-star sextet, including Phil Woods, Duke Jordan, Art Taylor, and Cecil Payne, recorded a tribute to Charlie Parker at the club (released on the Signal label). Landmarks in the Five Spotâ€™s history were the long residencies held from 1956 by Cecil Taylor and in 1957â€“9 by Thelonious Monk as the leader of a quartet of changing personnel, involving, most notably, John Coltrane (1957). Ornette Coleman made his controversial New York dÃ©but there and held a series of residencies at the club between 1959 and 1961. In the latter year Eric Dolphy gave important performances that were recorded and issued as Live! at the Five Spot. Monk returned to the club in 1963 after it had moved to its new location on the West side. Another influential connection was that with Charles Mingus, who first appeared at the Five Spot in its early days and played for an extended period in 1964â€“5. In 1972 the clubâ€™s management took a new direction, opening premises on St. Marks Place under the name the Two Saints and presenting a repertory that emphasized jazz-rock. The original name was resumed, however, in 1975 and the Five Spot reopened with Art Blakeyâ€™s Jazz Messengers. Among others who performed there were Coleman (1975) and Jackie McLean. The club was forced to close after losing its cabaret license. The Termini brothers also ran the Jazz Gallery in Greenwich Village.â€ù GroveNightclubs2016.","""Nightclubs and other venues."" The New Grove Dictionary of Jazz, 2nd ed. Grove Music Online. Oxford Music Online. Oxford University Press, accessed June 3, 2016, http://ezproxy.library.nyu.edu:4211/subscriber/article/grove/music/J330000pg38.",TB,
Five Spot,,Bowery between Fourth and Fifth Street,,,1956?,1963?,,,,,,
Five Spot,,2 Saint Marks Place ,,,1963 or 1972?,1967 or 1975?,,,,,,
Flamingo,,599 Broadway,,,1974,1981,,,Former Broadway performer Michael Fesco worked as the manager and promoter of the very exclusive club. Membership required three member recommendations and then a $600 monthly fee. ,"""Identify These NYC Clubs."" Disco-Disco, accessed June 7, 2016. http://www.disco-disco.com/clubs/identify-clubs.shtml",,
Florent,,69 Gansevoort Street,,,,,,,,,,
Fluxhouses,,80 Wooster Street,,,,,,,,,,
Folklore Center,,Sixth Avenue and Third Street,,,,,,,Owned by Izzy Young; Sunday afternoon readings hosted by Ted Berrigan. ,,,
Food,,127 Prince Street,,,1971,1974,,,#NAME?,,,
Foreman's Loft,,52 Wooster Street,,,,,,,,,,
Franklin Furnace,,112 Franklin Street,,,,,,,"Franklin Furnace Archive, Inc. is an organization whose mission is to present, preserve, interpret, proselytize and advocate on behalf of avant-garde art, especially forms that may be vulnerable due to institutional neglect, their ephemeral nature, or politically unpopular content. The Archive was founded by Martha Wilson in New York City in 1976; since then, Franklin Furnace has been one of the strongest driving forces behind the documentation and preservation of ephemeral and avant-garde art forms.",,SM,http://dlib.nyu.edu/findingaids/html/fales/franklin/
Fun,Fun Gallery,254 East Tenth Street,,,1981,,,,"Co-founded by Patti Astor and Bill Stelling, Fun Gallery opened in 1981. The gallery specialized in showing graffiti artists like Fab 5 Freddy, Lady Pink, and Futura 2000 while also showing other downtown artists--Keith Haring, Jean-Michel Basquiat, and Kenny Scharff. The gallery closed in 1985.",,SM,
Fun,,one block south of its original location,,,,,,,,,,
The Gallery,,132 West Twenty-second Street,Chelsea,,1972,1974,,,"""In February 1972, Nicky Siano, who had been a regular at the Loft before he was thrown out for dealing drugs, opened the Gallery as a surrogate private party for straights. . . . When Mancuso traveled to London for the summer of 1973 Sian decided to reopen his venue as the home-away-from-home hangout for Mancuso's predominantly black gay crowd. . . [After being forced to shut down,] reopening a year ahead of Mancuso in a new location . . . the Gallery quickly established itself as the most dynamic party in New York, with Siano the city's most progressive and entertaining D.J."" Lawrence2009:126.","Lawrence, Tim. Hold On to Your Dreams: Arthur Russell and the Downtown Music Scene, 1973-1992. Durham, N.C.: Duke University Press, 2009.",TB,
The Gallery,,172 Mercer Street,,,1974,,,,,,,
Gallery East,,Avenue A and Houston Street,,,,,,,,,,
Garrick Theater,,Bleecker Street,,,,,,,early 1970s: Frank Zappa and the Mothers of Invention played there every Wednesday afternoon  (needs verification). See http://www.denofgeek.com/us/tv/vinyl/252605/real-vinyl-history-the-mercer-arts-center-collapsed-43-years-ago-today,,,
The Gas Station,Avenue B Gallery,,,,,,,,See entry for Avenue B Gallery,,,
Gaslight Cafe,"Village Gaslight, MacDougal Street Bar, Kettle of Fish (upstairs)",116 MacDougal Street,,,1958,,,,"Village coffeehouse, folk revival and Beat poetry (Ginsberg)",,,
Gerdes's Folk City,,,,,,,,,,,,
Global Village,,454 Broome Street,,,,,,,"Along with the Kitchen, one of the first venues in NYC to display video art. Fensterstock2013:40.","Fensterstock, Ann. Art on the Block: Tracking the New York Art World from SoHo to the Bowery, Bushwick and Beyond. New York: St. Martin's Press, 2013.",TB,
Gracie Mansion,,167 Avenue A,,,,,,,"Gracie Mansion was the name Joanne Mayhew adopted for herself, inspired by the name of the New York City mayor's house. She became part of the East Village art movement in the 1980s when artists became frustrated with the closing of galleries and wanted a way to exhibit their work, so they created their own spaces. Gracie Mansion originally started showing art in her apartment, but after angering her landlord, she moved her gallery to a space on 15 St. Mark's Place and then to 337 E 10th Street. Sur Rodney Sur helped run the gallery, which became one of the most well-known in the East Village.",,SM,
Great Gildersleeves,,331 Bowery,,,1979?,1984?,,,"1980s punk rock and hardcore club along the lines of CBGB. Named for a 1940s radio show, The Great Gildersleeve.",,,
Greathouse,,337 East Tenth Street,,,,,,,,,,
Greenwich Music School,"Greenwhich Music School, Greenwich House Music School",,,,,,,,TB: Guy Klucevsek mentioned this in conversation as an important music venue,,,
Grey Art Gallery,,33 Washington Place,,,,,,,"The Grey Art Gallery is New York University's fine arts museum. NYU's first museum was the  A. E. Gallatin's Museum of Living Art from 1927-1942 in what is now Silver Center. The first showings of artists like Picasso and Mondrian were in this gallery. Gallatin's museum was closed due to the World War II economy, and in 1975 Abby Weed Grey gifted the university allowing the museum space to be renovated. Following the renovation, the area opened as Grey Art Gallery.",,SM,
Ground Zero Gallery,,,,,,,,,"Gallery w/David Wojnarowich installation (Thanksgiving dinner, detritus from street, plus soundtrack) and Richard Kern film, â€œYou Killed Me Firstâ€ù (1985). (MT)",,,
Group Material,,,,,,,,,"""In 1980-81, some of the most vanguard art being created in New York wasnâ€™t on view within the white-walled sanctuaries of SoHo. At lower Manhattan nightspots such as Mudd Club or Club 57, young artists, musicians, filmmakers, poets and other performers congregated to collaborate on one- or two-evening events. . . . It was a time when you could keep up with what was going on by scanning the layers of posters that decorated walls and construction sites downtown. New Wave rock bands, many featuring art school dropouts, were exhibiting some of the most innovative artwork in the form of concert announcements. Cryptic messages by SAMO and other graffiti poets began to appear at regular intervals between the East Village and Tribeca. In addition to the clubs, guerrilla art spaces and organizations flourished: ABC No Rio on Rivington Street, Group Material, Colab (Collaborative Projects), and Fashion Moda in the South Bronx, organized theme exhibitions and performances that were open to virtually any artist."" RosenBlinderman2016.","Rosen, Miss. ""Barry Blinderman: The Downtown Art Scene."" (Febrary 16, 2015). Accessed August 31, 2016, http://1981.nyc/barry-blinderman-downtown-art-scene/.",TB,
Hal Bromm Gallery,,90 West Broadway,,,,,,,,,,
Healing Arts Center,,928 Broadway,,,,,,,See Such1993:89,,,
Hell Fire Club,,,,,,,,,,,,
HERE Arts Center,,145 Sixth Avenue,,,1993,,,,archive is coming to the Fales,,,
Howl Arts,,,,,2015,,,,,,,http://thevillager.com/2015/04/09/howl-gallery-will-blend-punk-and-performance-art/
Hurrah,,36 West 62nd Street,,,,,,,,,,
The Iguana,,,,,,,,,,,,
Inroads,,150 Mercer Street,,,,,,,TB: Venue from Anthony Coleman. Theater with music on off-nights. He was one of the curators.,,,
"[Installation]: The Limo Show (Gracie Mansion, Buster Cleveland and Sur Rodney Sur)",,420 West Broadway (parking space),,,1981,1981,,,"The Limo Show was a rented limousine, parked at 420 West Broadway, corner of Spring and Broadway, ""home to the legendary Castelli and Sonnabend galleries."" Gumpert2006:12. Gracie Mansion helped organize the Limo Show with fellow artists Buster Cleveland and Sur Rodney Sur. There, dressed as tourists, they served champagne and tried to sell their artwork to passersby. SmithsonianInstitutionGraceMansion2016.","Gumpert, Lynn. ""Foreword."" In Marvin Taylor, ed., The Downtown Book: The New York Art Scene, 1974-1984, 9-16. Princeton, N.J.: Princeton University Press, 2006; Smithsonian Institution, Archives of American Art, Gracie Mansion Gallery records, 1972-1991. Accessed June 4, 2016, http://www.aaa.si.edu/collections/gracie-mansion-gallery-records-6501/more.",TB,
[Installation]: Wheatfield--A Confrontation (Agnes Denes),,"tbd (vacant lot, Battery Park City)",,,1982,1982,,,"""An example of how Eco Art can redefine the pastoral message was Agenes Denes's Wheatfield--A Confrontation (1982), which involved the planting and harvesting of a two-acre . . . wheatfield on a vacant lot in downtown Manhattan. A thousand pounds of healthy wheat, worth $185, was harvested from land worth $4.5 billion."" Ruff2015:254.","Ruff, Alan R. Arcadian Visions: Pastoral Influences on Poetry, Painting and the Design of Landscape. Havertown, Penn.: Oxbow Books, 2015.",TB,
[Installation]: Times Square,,,,,1977,1992,,,,,,
[Installation]: Times Square,,Times Square between 45th and 46th Street,,,2002,present,,,"â€œIf you go to the traffic triangle between 45th and 46th Streets in Times Square and thereâ€™s not too much extraneous noise, you will hear a drone coming up from the street grates. Itâ€™s a sound installation by [Max] Neuhaus called â€˜Times Square,â€™ first set up in 1977, dismantled in 1992, and reinstated in 2002. . . . â€˜Times Squareâ€™ situates a drone as a steadystate aural marker amidst the hubbub of one of the worldâ€™s busiest intersections, matching an unchanging electronic chord to the hive-like drone of the cityâ€™s hustle and bustle. Rather than compete with the volume of its environment, â€˜Times Squareâ€™ functions as a barometer of Midtown noise levels. Its audibility changes with the amount of sound generated in its immediate vicinity; during the day itâ€™s often drowned out, revealing itself more in the evening hours when the traffic lessens. . . . Unmarked and unadvertised, â€˜Times Squareâ€™ calls no attention to itself, yet â€“ in its unassuming way â€“ itâ€™s the ultimate monument to the intangible energy that forever characterizes New York City.â€ù Licht2013.","Licht, Alan. â€œThe Hum of the City: La Monte Young and the Birth of NYC Drone.â€ù Red Bull Music Academy Daily (May 1, 2013). Accessed September 7, 2016, http://daily.redbullmusicacademy.com/2013/05/the-hum-of-the-city-la-monte-young.",TB,
Institute for Art and Urban Resources,P.S.1 Contemporary Arts Center,various,,,1971,,,,"In 1971, Alanna Heiss ""founded The Institute for Art and Urban Resources, which organized exhibitions in otherwise unused or overlooked spaces in New York. The Institute's first pioneering show, Under the Brooklyn Bridge, was organized by Heiss and Gordon Matta-Clark, and featured such artists as Carl Andre, Sol LeWitt, and Dennis Oppenheim."" Clocktower2016. ",,TB,
International with Monument,,111 East Seventh Street,,,,,,,"""Looking back on the East Village scene in an Artforum special many years later, writer, curator and art world thinker Dan Cameron proposed that 'by the fall of 1986, a good litmus test on where you fell on the art-political spectrum was how you felt about International with Monument.' . . . Nature Morte and International with Monument co-hosted two weighty 1984 shows--Still Life with Transaction: Former Objects, New Moral Arrangements and the History of Surfaces and Civilization and the Landscape of Discontent."" Fensterstock2013:114.","Fensterstock, Ann. Art on the Block: Tracking the New York Art World from SoHo to the Bowery, Bushwick and Beyond. New York: St. Martin's Press, 2013.",TB,
Internet Cafe,,82 East Third Street,,,1995,,,,,,,
Irving Plaza,,17 Irving Place ,,,,,,,"Originally a Polish-American community center, in 1978 the building turned into a rock venue by Tom Goodkind and Frank Roccio. By having bands like Talking Heads and The Ramones play at the club, Irving Plaza became one of the top punk and new wave venues in the city. Through the 1980s, Irving Plaza went through several promoters, managers, and iterations. After Chuck Terzella ran the venue from 1983-1986 as a college, reggae, and ethnic music venue, Chris Williamson reopened it in November 1986 until it closed in 1988, with The Ramones as the final performance. Live Nation took over the venue, briefly changing the name to Fillmore New York At Irving Plaza, before restoring the ""Irving Plaza"" name.",,SM,
Issue Project Room,,tbd (East Sixth Street near Tompkins Square Park),,,2003,,,,"â€œStarted [in 2002] by [artist Suzanne] Fiol with a concert produced in collaboration with Marc Ribot, the progressive jazz and rock guitarist, in an East Village garage adjacent to the Issue Management photo agency, Issue was priced out of Manhattan relatively quickly. Two quirky locations followed â€” a storage silo on the Gowanus Canal in Brooklyn, and a loft space in an erstwhile canning factory nearby â€” before Issue won a 20-year, rent-free lease in the former Board of Education building at 22 Boerum Place, at Livingston Street, in Downtown Brooklyn. . . . All along, Issueâ€™s mission of nurturing experimental artists and cross-pollinating genres and idioms has remained airtight.â€ù SmithSurvivor:2016.","Smith, Steve. â€œA Survivor Celebrates Its Spunk and Spirit: Concerts Honor Issue Project Roomâ€™s 10th Anniversary.â€ù New York Times (Sept. 6, 2013). Accessed August 18, 2016, http://www.nytimes.com/2013/09/08/arts/music/concerts-honor-issue-project-rooms-10th-anniversary.html?_r=1&.",TB,
Issue Project Room,,22 Boerum Place,,Brooklyn,,,,,,,,
Issue Project Room,,110 Livingston Street,,Brooklyn,,,,,,,,
Jackie 60,"Nell's, The Bar, Mother (name of The Bar after purchase by Johnny Dynell and Chi Chi Valenti in 1997)",432 West Fourteenth Street,,,1990,,,,"[TB: A weekly nightclub-party, not a venue. Choose one venue to stand in for the series?] ""Held every Tuesday for ten years at a small bar on West Fourteenth Street nicknamed 'The Bar' . . .  [Jackie 60] is a party for mainly Manhattanites with an artistic knack for camp and out-of-the-ordinary performance art. Besides the music by DJ Johnny Dynell, Jackie 60 featured so-called theme parties including transvestite fashion shows, body-painting contests, and photo and art exhibitions."" Fikentscher2000:71.","Fikentscher, Kai. â€ùYou Better Work!"": Underground Dance Music in New York City. Middletown, Conn.: Wesleyan University Press, 2000.",TB,
The Jazz Gallery,,80 Saint Marks Place,,1959,1962,,,,"Club featuring adventuresome jazz owned by Joe and Iggy Termini, who also owned the Five Spot. Max Roach and Abbey Lincoln premiered We Insist! Freedom Now Suite at the Jazz Gallery in 1961.",,,
The Jazz Gallery,,1160 Broadway,,1995,,,,,,,,
The Jazz Gallery,,290 Hudson Street,,2000s,,,,,"""If you want to catch an echo from the future, drop by some evening. . . . [Founder Dale] Fitzgerald . . . uses the venue to explore the influences of non-Western cultures on jazz. He also foregrounds the music's connection to the visual arts . . . [and] has collected all manner of artifacts that are housed there: the sign from the Tin Palace . . . the door to Bradley's . . . a piano that belonged to Carmen McRae . . . an array of jazz poster art. Even its location is a bit mythic. The site, formerly a rehearsal space for [trumpeter Roy] Hargrove's bands, sits in what was once known as the city's printing district, a formerly roughneck area not far from the west side docks."" Dollar2006:13.","Dollar, Steve. Jazz Guide: New York City. New York: Little Bookroom, 2006.",TB,
Jazzmania,,"14 East Twenty-third Street, fifth floor",,,,,,,"""â€œJazzmania Society, Mike Morgensternâ€™s homey four-story walk-up at 14 East 23rd Street . . . is still the most intimate of jazz rooms (currently seating 125), partly because people sit on couches, on the floor, and in a dark loft within a loft. . . Morgenstern . . . opened Jazzmania Society in December 1974 as a place where musicians could jam.â€ù Giddens1980:48.","Giddens, Gary. ""The Beat Goes On: Hot Jazz Clubs."" New York Magazine (March 10, 1980): 44-49.",TB,
Jazzmania,,40 West Twenty-seventh Street,,,,,,,Jazz loft.,,,
Judson Memorial Church,,55 Washington Square South,,,,,,,"Rev. Edward Judson build Judson Memorial Church in memoriam of his father, Adoniram Judson, in 1888. Edward's goal was to help the community, and he started several social service programs at the church including a health center and cooking classes. Throughout the leadership of all subsequent reverands, more services to help the community continued to grow and develop, including some seen as controversial. Judson established programs to help drug addicts, mothers needing abortions, people with AIDS, and other groups in need of assistance. In the late 1950s, the Judson Art Ministry asked artists what the church could do to help them resulting in the church providing its space to artists to showcase their work, rehearse, and perform while also promising no censorship. Since then, the church started Judson Literary Quarterly in 1959, Judson Poet's Theater in 1961 and Judson Dance Theater in 1962. Judson continues to promote and help the arts through exhibitons and performances.",Fales Judson finding aid,SM,http://dlib.nyu.edu/findingaids/html/fales/judson/
Just Above Midtown,JAM,50 West Fifty-seventh Street,Midtown,,1974,1980,,,"""Linda Goode Bryant, a former education director at the Studio Museum in Harlem, founded Just Above Midtown (JAM) to create a venue for exhibiting abstract work by Black artists. She situated [it] at 50 West Fifty-seventh street in Manhattan's most prestigious gallery district. . . . JAM staged solo shows primarily, with occasional group exhibitions; initiated a seminar and service program . . . and provided materials and opportunities for artists to use nontraditional space. . . . By October 1980, it relocated to 178 Franklin Street in TriBeCa. It inaugurated the new space with a group exhibition curated by the staffs of several downtown spaces, including the American Indian Community House Gallery, A.I.R. Gallery, Cayman Gallery, Franklin Furnace, and Artists Space."" Ault2002:39-40.","Ault, Julie. Alternative Art, New York, 1965-1985: A Cultural Politics Book for the Social Text Collective. Minneapolis: University of Minnesota Press, 2002.",TB,
Just Above Midtown,,178 Franklin Street,,,1980,late 1980s,,,,,,
King Tut's Wah Wah Hut,,112 Avenue A,,,mid 1980s,,,,"Performance art space and bar with changing interior murals that programmed experimental music. Interior decor designed by Tom Berry. (Eponymous rock club in Glasgow, Scotland is named after it.)","Kurlas, Gia. ""The Whitney Embraces Dancenoise, a Brash 80s Performance Duo."" New York Times (July 16, 2015). Accessed June 10, 2016, http://www.nytimes.com/2015/07/19/arts/dance/the-whitney-embraces-dancenoise-a-brash-80s-performance-duo.html?_r=2.",TB,
The Kitchen,,240 Mercer Street,,,1971,1973,,,,,,
The Kitchen,,59 Wooster Street,,,1973,1974?,,,,,,
The Kitchen,,484 Broome Street,,,1974?,,,,,,,
The Kitchen,,512 West Nineteenth Street,,,,,,,"Woody and Steina Vasulka started The Kitchen in 1971 as a collective of experimental and progressive artists and performers. It was an early supporter of video performance. Laurie Anderson, Robert Mapplethorpe, and Vito Acconci were some of the artitsts whose careers started at The Kitchen. Today, The Kitchen continues to bring together artists from different disciplines together for a variety of cultural events and performances.",,SM,
The Kitchenâ€™s Domestic Tour,,tbd (various),,,1982,1982,,,"â€œNothing better embodied [downtownâ€™s] crossover mania than the Kitchenâ€™s showbiz 1982 Domestic Tour, which featured [Rhys] Chatham and [Glenn] Branca, the rapper and graffiti artists Fab Five Freddy with a group of break dancers, Oliver Lakeâ€™s reggae funk band, and the performance artist Eric Bogosian.â€ù Gendron2006:63.","Gendron, Bernard. â€œThe Downtown Music Scene.â€ù In The Downtown Book: The New York Art Scene, 1974-1984, ed. Marvin Taylor, 41-64. Princeton, N.J.: Princeton University Press, 2006.",TB,
The Knitting Factory,The Knit,47 East Houston Street,,,1987,1994,,,Centrally important downtown/experimental music hub with cross-genre programming.,,,
The Knitting Factory,,74 Leonard Street,,,1994,2008,,,,,,
The Knitting Factory,,361 Metropolitan Avenue,,Brooklyn,2008,,,,,,,
Korova Milk Bar,The Milkbar,200 Avenue A,,,1997,2006,,,Named and styled after bar in Kubrick's A Clockwork Orange.,,,
